JEDN.EWID.;OBRĘB;DZIAŁKA;ARKUSZ;POW.DZ.[ha];NUMER JRG;CHAR.WŁADANIA;UDZIAŁ;GRUPA;UŻYTKI - SYMBOL;UŻYTKI - POW.[ha];DOKUMENT - SYGN.;DOKUMENT - RODZAJ;AKTUALIZACJA UW.;Wartość zł;Wartość drogi;Wartość rowy;Wartość B-RV;Wartość B-RVI;Wartość N;Wartość RIVa;Wartość RIVb;Wartość RV;Wartość RVI;Wartość B-RIVa;Wartość B-Ivb;Wartość Wp;Wartość B;Wartość ŁIII;Wartość ŁIV;Wartość ŁV;Wartość ŁVI;Wartość PsIII;Wartość PsIV;Wartość PsV;Wartość PsVI;Wartość LsIII;Wartość LsIV;WartośćLsV;WarośćLsVI;Wartość Ba;Wartość Bp;Wartość Bi;Wartość Ws;wartość K;Wartość Lz-RIV;Wartość Lz-RV;Wartość Lz-RVI;Wartość S-RV;Wartość B-ŁIV;Wartość S-ŁIV;Wartość S-ŁV;Wartość Lz-ŁIV;Wartość B-PsVI;Wartość S-PsV;Wartość bz;Wartość Wp;Wartość Wsr;pow. zabudowy;aktualne wyk;plan;przeznaczenie w planie lub studium;uwagi;wartość szacunkowa została określona przez: ……………..skład komisji
POKÓJ;DĄBRÓWKA DOLNA   0391;269;1;0,13;214;właściciel;;4,1;dr;0,13;G.IV-7227/530/92;DECYZJA WOJEWODY;;2600;2600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;277;1;0,25;214;właściciel;;4,1;dr;0,25;G.IV-7227/530/92;DECYZJA WOJEWODY;;5000;5000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;294;1;0,08;214;właściciel;;4,1;dr;0,08;G.IV-7227/530/92;DECYZJA WOJEWODY;;1600;1600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;30;1;0,32;214;właściciel;;4,1;dr;0,32;G.IV-7227/530/92;DECYZJA WOJEWODY;;6400;6400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;304;1;0,04;214;właściciel;;4,1;dr;0,04;G.IV-7227/530/92;DECYZJA WOJEWODY;;800;800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;320;1;0,14;214;właściciel;;4,1;dr;0,14;G.IV-7227/530/92;DECYZJA WOJEWODY;;2800;2800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;327;1;0,96;214;właściciel;;4,1;dr;0,96;G.IV-7227/530/92;DECYZJA WOJEWODY;;19200;19200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;335;1;0,41;214;właściciel;;4,1;dr;0,41;G.IV-7227/530/92;DECYZJA WOJEWODY;;8200;8200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;339;1;0,22;214;właściciel;;4,1;dr;0,22;G.IV-7227/530/92;DECYZJA WOJEWODY;;4400;4400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;348;1;0,1;214;właściciel;;4,1;dr;0,1;G.IV-7227/530/92;DECYZJA WOJEWODY;;2000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;349;2;0,22;214;właściciel;;4,1;dr;0,22;G.IV-7227/530/92;DECYZJA WOJEWODY;;4400;4400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;355;2;0,06;214;właściciel;;4,1;dr;0,06;G.IV-7227/530/92;DECYZJA WOJEWODY;;1200;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;37;1;0,09;214;właściciel;;4,1;dr;0,09;G.IV-7227/530/92;DECYZJA WOJEWODY;;1800;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;371;2;0,14;214;właściciel;;4,1;dr;0,14;G.IV-7227/530/92;DECYZJA WOJEWODY;;2800;2800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;382;2;0,2;214;właściciel;;4,1;dr;0,2;G.IV-7227/530/92;DECYZJA WOJEWODY;;4000;4000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;385;2;0,37;214;właściciel;;4,1;dr;0,37;G.IV-7227/530/92;DECYZJA WOJEWODY;;7400;7400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;395;2;0,02;214;właściciel;;4,1;dr;0,02;G.IV-7227/530/92;DECYZJA WOJEWODY;;400;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;40;1;0,4;214;właściciel;;4,1;dr;0,4;G.IV-7227/530/92;DECYZJA WOJEWODY;;8000;8000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
